code_insee,commune,code_region,region,departement,log_rp,log_proprio,log_loc,log_hlm,log_sec,log_maison,log_appart,age_0_14,age_15_29,age_75p,femmes,chom,agric,indep,cadres,interm,empl,ouvr,etud,dipl_aucun,dipl_bepc,dipl_capbep,dipl_bac,dipl_sup2,dipl_sup34,dipl_sup,resid_sec,proprio,locataire,hlm,maison,appart
42147,Montbrison,84,Auvergne-Rhône-Alpes,Loire,7576.54678470743,3817.0683404666,3653.41940415268,1249.77732596282,256.28268874141,3885.63241803398,3611.96978978358,15.91796794928149,18.5298139643407,12.295691044708521,53.17660039183642,13.344642552319488,0.21531505334477608,5.847501465368799,10.778510932745174,24.8208469484241,30.72426944034782,27.097631851242966,34.34314118643791,23.749278550022517,5.492933094703564,28.592844659296844,18.5742951265147,10.129223445490371,7.881950383621872,5.579474740350194,3.2719043560202428,50.38005372277256,48.22011277653264,16.495342290836,51.28500527280813,47.67303485902063
42149,Montrond-les-Bains,84,Auvergne-Rhône-Alpes,Loire,2481.99999999532,1476.81486199424,981.634745510791,191.932560624886,38.8785321100919,1504.11649953698,970.799002187709,16.774071491689043,16.115355445832446,12.310897458609746,52.18872307736304,10.351918256885348,0.4252267173441201,6.38625227667671,11.271460330369756,26.1542627522319,31.74703856270226,22.694071062034084,36.62539417881684,25.85397918438186,5.386041230301087,29.371172411422837,17.854771976001896,9.645391731680737,6.910236064102962,4.9784074021085996,1.5422612242098372,59.50100169206384,39.55015090703634,7.732979880146974,60.600987088630774,39.11357784808781
42165,Panissières,84,Auvergne-Rhône-Alpes,Loire,1346.22341458145,952.526065964139,369.531782461775,38.2621464129358,115.583032273603,1029.05035879001,287.972996686833,17.19095153341147,12.901861009984849,16.46829759729724,51.96244618968431,7.760711398544877,2.8294260307194863,9.700889248181097,9.296685529506926,19.401778496362194,26.677445432498015,35.974130962004864,33.58778625954201,31.9552724291493,5.711567192209368,27.528760791127212,15.929917872021429,8.79045888175973,5.978833914332597,4.105188919400477,7.906862944972614,70.75542258788344,27.449513836948448,2.8421839940164584,76.4397905759163,21.39117427075548
42168,Pélussin,84,Auvergne-Rhône-Alpes,Loire,1643.85654674076,1059.48559140548,538.262783902311,160.376248462514,115.777615699983,1217.85713676221,423.99470687277,17.289294980546227,13.809941076928393,12.152979659476513,51.63618199522527,8.336332679701753,2.2787368327342947,5.127157873652164,14.62166350978892,29.908420929637636,23.64189463961833,24.781263055985463,27.013338899061264,19.675495533008128,4.772571105522083,23.48800144134973,18.813753419601106,15.2277664939712,9.381618117981057,8.640793888566721,6.57964127835475,64.45121951219525,32.74390243902446,9.756097560975661,74.08536585365859,25.79268292682932
42170,Perreux,84,Auvergne-Rhône-Alpes,Loire,833.999999828133,664.570172552199,143.344578662181,15.0672650537988,13.0135699373696,772.707383912844,57.2840723557308,17.39676804178431,14.19746568770962,11.08080256301806,51.42067992197109,7.9325241136359566,5.29006909095102,8.98318126372214,12.156262073528568,22.739027437681834,25.35750165781719,29.037921245139113,51.57099900200931,23.185174650801745,3.9271038121041886,30.311369240823304,17.844564090696803,11.69670486786372,7.338411136468734,5.696672201241366,1.5364063105827728,79.68467298431062,17.187599363515684,1.8066265056239563,92.65076547626859,6.868593809057032
42176,Pouilly-les-Nonains,84,Auvergne-Rhône-Alpes,Loire,861,696,163,25,15,835,26,20.962517353077278,12.170291531698288,7.8204534937528924,51.92040721888015,7.128309572301425,1.0183299389002036,7.637474541751528,10.183299389002038,29.531568228105908,25.967413441955195,20.875763747454176,32.967032967032964,18.095838587641865,4.918032786885246,34.9936948297604,17.717528373266077,11.727616645649434,8.385876418663305,4.16141235813367,1.7123287671232876,80.8362369337979,18.931475029036005,2.9036004645760745,96.98025551684088,3.0197444831591174
42177,Pouilly-sous-Charlieu,84,Auvergne-Rhône-Alpes,Loire,1183.14285714286,809.261904761905,360.214285714286,85.9047619047619,17.3910536310835,923.47619047619,245.023809523809,16.705698672911794,12.80249804839968,13.700234192037481,52.02966432474611,10.711071107110733,0.45004500450044954,6.300630063006292,3.600360036003593,21.152115211521146,31.053105310531,36.90369036903685,24.793388429751996,26.97859631657536,5.276256844201062,33.797909407665436,17.521154803384757,8.461921353907405,4.977600796416119,2.986560477849673,1.4486099455426527,68.39933993399325,30.445544554455395,7.260726072607242,78.05280528052782,20.709570957095615
42182,Renaison,84,Auvergne-Rhône-Alpes,Loire,1401.33002611304,1060.41239599784,309.204362197501,33.6953471625482,67.3379408068268,1238.79952803486,158.566339588462,17.257499268654637,11.509003457281294,12.708174280578952,51.00684348105047,8.28358208955227,1.4925373134328388,7.4626865671641935,11.567164179104505,26.119402985074718,26.865671641791067,26.119402985074718,46.90291311790548,19.672358253549373,5.732451747500109,29.777984442561547,17.869853659498613,12.6354047589365,8.219146784939284,6.092800353014664,4.584966944438087,75.67185289957531,22.06506364922196,2.4045261669023943,88.401697312588,11.315417256011258
42183,La Ricamarie,84,Auvergne-Rhône-Alpes,Loire,3164.81986788618,1417.05360772358,1699.66260162602,1129.43381605691,14.8523513190326,1111.39494410569,1978.26295731708,23.818597560975633,15.828252032520323,9.667174796747972,51.562500000000064,21.509296390812978,0,5.286183011301498,3.4633612832664897,17.134524243528933,32.0816624134159,34.451330659861384,35.03521126760556,38.43898864052765,5.221692927812387,28.545254672041136,14.437522902161978,6.320996702088682,4.525467204104071,2.5100769512642076,0.4671032199270237,44.775174160861376,53.704876504116626,35.68714376187457,35.11716276124125,62.50791640278677
42184,Riorges,84,Auvergne-Rhône-Alpes,Loire,5059.83278401139,3453.74493501761,1541.93172818896,484.531149922385,75.9175037303352,3530.33965300959,1523.63555305945,16.778741007752256,13.148418607838707,13.455978771510264,53.23295097243898,13.083245616862897,0.06012563065883416,6.481556592365184,10.530810039652634,23.715893235015322,34.31554930463555,23.66402606148074,28.57199826258603,20.642235841387276,4.932807326898185,32.616852550571394,18.539261068184874,10.339218417118033,7.669964075784552,5.259660720055749,1.4782164139004,68.25808445550075,30.473966117246476,9.576030880970201,69.77186408541289,30.112369678974364
42186,Rive-de-Gier,84,Auvergne-Rhône-Alpes,Loire,6375.94600574363,2881.83110980053,3377.77898885649,2103.40553731203,54.1008386502647,2221.56775317456,4139.38057884389,22.45903564756147,16.77490522453459,10.153464770002628,52.753867528025225,19.58958667515299,0.14890240084601175,5.1237748738218265,6.153328393176621,22.47780137367103,32.021874735237034,31.65395755993668,34.07868069259411,32.336240316833724,5.082531004053055,29.250154921043436,16.719336200304884,7.783874623467524,5.172155764613931,3.6557071696836347,0.8413754978695543,45.19848673756798,52.976907047419985,32.98970122107721,34.842951166357274,64.92182611200002
42187,Roanne,84,Auvergne-Rhône-Alpes,Loire,18451.9038176643,7274.87072785971,10848.1523033897,3505.12460004458,680.20440171408,4245.71421235852,14102.3930865391,14.646891860956005,19.6098799665732,14.412351835937919,53.58772210142306,20.104724431589805,0.10458129626802234,5.278514331070624,10.145833091528326,23.03691958799988,31.04191647421492,26.831607256360513,48.41696404496712,30.01738690746131,5.677683966124058,26.537428424257147,16.048798475763103,8.490152944535884,7.278574004908192,5.9499752769504495,3.5553029175588704,39.42612534591341,58.79150688507595,18.996005153078396,23.009626834787802,76.42784845344065
42189,Roche-la-Molière,84,Auvergne-Rhône-Alpes,Loire,4453.65627821236,2666.5677044541,1750.89137934778,1031.91740877349,33.0478786576128,2423.17266801541,1919.20457368987,17.68014462255613,14.690070709827582,9.383588218648905,50.860576177668804,11.65289256445479,0.49285772611148326,4.929655472718288,11.500226159201349,25.59176274152886,30.88784212933422,25.315471470479352,42.63785317141806,21.191629500763796,5.251179486001494,34.14696238901166,18.4088142991383,9.523442223017824,6.794956054189551,4.683016047877411,0.7365736073106222,59.873675422577186,39.31357226450724,23.17011786072742,54.408614330426964,43.09278610203421
42207,Saint-Chamond,84,Auvergne-Rhône-Alpes,Loire,15226.2960597665,7366.4199917826,7654.81908037084,4972.74349774761,112.903236326071,5256.46404268777,9941.15861425785,18.88852661430604,16.906424608553188,12.033328348177093,53.0977212436602,15.520632540082493,0.46041333444494253,5.637049538960069,9.395395955468357,23.82733476180761,30.178520960926225,28.077192799923388,46.09041012557445,27.150563872894928,4.866996154531462,29.765483866078213,16.806343184015052,9.214033941919492,7.312039416942592,4.884539563618303,0.736043871304491,48.37959253430913,50.27367818361091,32.65891769231675,34.522276606569406,65.28940837112754
42211,Saint-Cyprien,84,Auvergne-Rhône-Alpes,Loire,1037.07874015748,771.968503937006,254.952755905511,65.0078740157478,20.4902998236332,815.645669291336,195.023622047244,17.052704178401083,15.237146451584085,7.536512315522606,50.61753229751399,7.167509903125863,0,10.533919023153123,10.1188375102954,31.19974899007743,28.670039612503583,23.61062085735588,34.8105614448371,18.595933633272267,5.517143060802617,32.291513797050655,19.417341389474718,11.62927213796632,7.734818212693898,4.813977768739542,1.9374905135270535,74.43682664054832,24.583741429970544,6.268364348677746,78.64838393731614,18.805093046033296
42218,Saint-Étienne,84,Auvergne-Rhône-Alpes,Loire,85285.1637278947,34109.6618472073,49667.5955575661,17321.5320352375,2234.15875343745,10442.0334849214,73962.7409935732,17.35848323791818,23.123407175392426,10.9260671758184,52.425169174437656,20.36200908484356,0.07009894443859023,4.796565342017977,14.5967115231754,24.34153464736775,29.131558977979267,23.686166921890177,65.68585797258272,26.627086396259187,5.145399290524921,24.040993692131842,15.97149127311743,9.585629557540939,9.322081831133941,9.307317959291424,2.5527605677180545,39.9948365650506,58.23708765575253,20.310135172516585,12.243669389246966,86.72404174488533
42222,Saint-Galmier,84,Auvergne-Rhône-Alpes,Loire,2379.00000000002,1492.25593315358,845.806525354447,182.218770979993,61.1380880121396,1680.90502299985,686.855808496475,16.864924668884242,16.087799674466744,11.049660391174937,51.39188164540683,8.678268227511744,0.1851956305559537,5.6984315609139395,20.184079869520378,28.329459665842304,25.10120547000001,24.542346956937084,46.4666468463776,20.062274289230412,4.9354330872172705,24.62999171997769,19.027710005442916,13.155667668226323,9.31217952696333,8.876743702941967,2.50551754888369,62.72618466387421,35.5530275474754,7.659469145859246,70.65594884404523,28.871618684172727
42223,Saint-Genest-Lerpt,84,Auvergne-Rhône-Alpes,Loire,2701.00000000002,1693.55287097615,958.602735944693,432.029453506399,16.2034125125461,1384.55303620815,1312.37161664275,18.077633565256992,16.010537852381955,10.999746661067364,52.779835257304676,10.364931891354022,0.17610353890744082,7.020455054025122,16.618091274902998,30.919808350263132,26.377780567919825,19.714051305380924,47.45083465615652,17.77504696591641,4.6956107855320255,26.679925605231645,18.795550089618416,12.873035989054607,9.273198130804868,9.907632433842052,0.5963268129993623,62.700957829549694,35.49066034597134,15.995166734779556,51.260756616369484,48.58836048288561
42224,Saint-Genest-Malifaux,84,Auvergne-Rhône-Alpes,Loire,1214.75589944873,853.559342723043,336.725245294411,85.160163780854,248.056419652023,849.643932894038,362.175409182943,17.529978210925876,15.428240089349982,10.562058825324778,50.01715387545763,6.4843329151624305,2.210568039259922,8.473844150496397,19.15825634025265,24.31624843185915,25.061081955011673,15.478516291583,59.52716445663264,14.058981800952136,5.524335667188773,23.34146715110306,19.038986794805172,14.18767996339324,12.106680573561581,11.741868048996034,16.95750141101579,70.26591458501234,27.71958098307823,7.010475423045952,69.94359387590676,29.81466559226445
42225,Genilac,84,Auvergne-Rhône-Alpes,Loire,1471.86210937439,1234.26705802773,204.951107584573,49.6351523332478,24.3374083129584,1355.75405199689,114.068613604187,21.93471370445302,16.30080281115333,6.254517812646024,49.126413487092165,8.859292620806807,1.3115211681729184,4.977863406772289,9.728022903176894,28.571551487503104,27.000108572615005,25.127588972969082,44.303706789239975,16.20099839602933,4.04624291967695,31.44793111757329,19.665507791231487,13.000157229273151,8.879461130019692,6.759701416196166,1.6266151689833679,83.85751967977157,13.924613337025626,3.372269183174031,92.11148540084021,7.749952449871237
42234,Saint-Héand,84,Auvergne-Rhône-Alpes,Loire,1542.09645186808,1139.03728956047,376.386129507841,115.583142132329,43.5888895569759,1172.62555308611,368.48300867828,16.975090049658824,14.213862313570672,13.336828625085637,50.536154380449915,5.279126213592229,4.24757281553398,4.550970873786408,22.148058252427223,36.10436893203888,18.203883495145664,17.597087378640765,57.077625570776334,18.38805823051553,3.074436121523618,24.349743125697675,17.005339971842922,14.632838143577242,11.56596084949806,10.983623557344819,2.74889906706223,73.86290839205627,24.407431133888586,7.495195387572077,76.04099935938528,23.894939141575964
42237,Saint-Jean-Bonnefonds,84,Auvergne-Rhône-Alpes,Loire,2823.30160723265,1792.36571161789,979.839947435603,522.982057833727,34.0229882450426,1650.09856178572,1147.15413068892,18.91283465209935,14.99722779766792,8.535712793497098,51.59315075432866,9.167509268621524,0.3370407819346146,6.572295247724989,12.639029322548067,31.681833501853852,28.816986855409617,23.9298955173577,52.10970464135016,17.931900216174927,4.447625866358516,30.714082794939344,17.955256394314947,12.740161944288653,9.768150267235987,6.442822516687567,1.1907288481991516,63.48474095102914,34.70546486870118,18.523775727466283,58.44570617459171,40.63165365507443
42256,Saint-Marcellin-en-Forez,84,Auvergne-Rhône-Alpes,Loire,1953.9999999888,1424.15049193903,511.772882671058,193.596660715019,85.2603938730857,1689.86833489378,262.132329998819,21.20083554690568,16.37008849694139,7.8395197745768215,50.51847441382126,7.763742360035132,1.3096955244047181,5.675999277214949,14.823938068296725,22.242470923721296,26.381908448379086,27.699380409840117,41.33295258090583,17.393515331565105,5.194023932473287,31.815423497534866,20.17041238773286,11.590884640913615,8.592889452088455,5.242850757691717,4.180946882983507,72.88385322145307,26.191038007880827,9.907710374418048,86.48251458052539,13.415165301961181
